Player,Team,Position,Age,Market value,Contract expires,Minutes played,Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,xG per 90,Head goals per 90,Shots per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Penalties taken
O. El Kaddouri,PAOK,"RDMF, RCMF, AMF",30,1800000,,1806,Morocco,Morocco,right,185,82,no,7.03,6.73,57.04,3.34,58.21,0.47,0.15,4.57,2.24,0.11,0,1.1,1.1,36.36,3.69,48.65,8.62,1.54,2.19,1.05,31.1,0.95,2.19,46.25,84.27,15.75,77.53,5.53,18.14,41.16,4.09,54.88,18.65,0.08,0.75,9.27,75.27,2.64,49.06,1.1,0.35,7.72,85.81,0
André Simões,AEK Athens,"DMF, LDMF, RCMF",31,1500000,2022-06-30,1262,Portugal,Portugal,right,177,74,no,11.84,8.84,68.55,4.35,65.57,0.91,0.07,8.33,2.28,0.06,0.07,1,0.64,22.22,1.71,58.33,5.13,1.14,0.93,0.5,30.17,0.29,1.85,46.5,87.58,15.76,75.11,6.06,19.11,40.36,5.49,59.74,18.85,0.09,0.21,8.42,73.73,1.21,41.18,0.5,0.14,6.63,78.49,0
Maurício,Panathinaikos,"RCMF, RDMF",32,1500000,2022-06-30,2233,Brazil,Brazil,right,180,78,no,8.14,6.21,53.25,3.47,62.79,0.7,0.28,5.75,1.85,0.08,0.04,0.81,0.24,33.33,1.81,60,5.76,0.69,0.56,0.44,26.84,0.44,2.54,39.5,83.78,12.09,70,7.58,14.19,35.71,3.55,52.27,18.07,0.03,0.28,5.28,68.7,1.25,48.39,0.44,0.08,5.24,70,0
Tiago Silva,Olympiacos Piraeus,"RCMF, AMF, LCMF",27,1500000,2022-06-30,836,Portugal,Portugal,right,170,62,no,6.03,7,46.15,1.51,7.14,0.41,0.11,4.93,2.05,0.05,0,1.18,0.65,50,3.12,34.48,8.4,0.65,1.72,0.22,45.86,0.43,2.48,59.21,88.91,19.92,81.08,10.01,21.42,54.9,3.66,64.71,17.31,0.1,0.97,10.33,84.38,1.51,57.14,1.08,0.32,9.8,87.91,0
N. Krstičić,AEK Athens,"LDMF, LCMF, DMF",30,1500000,2022-06-30,1965,Serbia,Serbia,left,180,73,no,11.59,9.62,62.38,3.21,57.14,0.47,0.14,7.68,1.92,0.04,0,0.87,0.27,50,1.69,54.05,4.17,0.37,0.5,0.09,27.48,0.09,1.51,42.32,86.69,13.79,74.42,5.13,16.4,39.39,2.7,47.46,17.76,0.03,0.41,6.87,72.67,0.73,62.5,0.23,0.09,6.46,78.72,0
Y. Shakhov,AEK Athens,"RDMF, RCMF, LDMF",30,1500000,2022-06-30,1830,Ukraine,Ukraine,right,189,81,no,8.85,6.93,55.32,4.28,45.98,0.9,0.1,6.72,1.92,0.17,0.05,0.84,0.54,36.36,1.57,62.5,5.41,1.28,0.98,0.49,29.36,0.69,1.48,42.1,85.16,12.39,76.19,6.44,16.87,36.98,4.67,63.16,17.68,0.02,0.3,7.57,80.52,1.38,64.29,0.74,0.1,7.38,76,0
S. Alexandropoulos,Panathinaikos,"RCMF, RDMF, LCMF",19,1200000,2022-01-31,2066,Greece,Greece,right,183,71,no,10.02,6.75,56.13,1.52,57.14,2.93,0.22,4.84,1.74,0.02,0,0.35,0.35,25,3.05,41.43,6.49,0.26,1.83,1.66,20.21,0.35,1.35,30.89,83.22,8.8,67.82,5.1,11.24,27.23,3.31,59.21,17.57,0.04,0.26,4.18,64.58,0.61,42.86,0.26,0.09,3.96,64.84,0
D. Szymański,AEK Athens,"RCMF, RDMF",25,1200000,2024-06-30,1447,Poland,Poland,right,181,70,no,7.4,7.09,49.12,2.36,57.89,0.36,0.12,5.32,2.49,0.13,0,0.93,1.37,45.45,1.74,50,4.98,2.18,1.24,0.75,33.28,0.75,0.56,47.77,83.2,11.69,66.49,9.39,19.28,41.8,4.66,56,19.26,0.17,0.93,7.53,65.29,1.62,42.31,0.37,0.75,5.85,73.4,0
N. Ninua,PAOK,"RCMF, LCMF",21,1000000,2024-06-30,334,Georgia,Georgia,left,186,73,no,9.7,9.16,55.88,5.93,54.55,4.36,0,4.91,2.16,0.19,0,1.62,0.54,0,0.27,0,1.62,0.54,1.08,0.27,47.43,0.54,0.81,60.09,81.61,16.17,61.67,11.59,26.14,52.54,7.01,57.69,20.16,0.15,1.08,11.59,62.79,1.35,20,0.27,0,8.35,74.19,0
L. Villafáñez,Panathinaikos,"LCMF, AMF, LAMF",29,1000000,2022-06-30,1863,Argentina,"Argentina, Paraguay",right,170,67,no,11.98,9.42,50.77,2.22,45.65,4.12,0.14,5.79,2.66,0.16,0,0.77,0.92,47.37,2.17,42.22,9.81,0.87,1.4,0.72,27.49,1.26,2.61,41.3,76.96,14.3,67.23,5.99,13.09,35.02,5.36,56.76,18.66,0.14,0.87,7.97,64.85,2.17,46.67,1.06,0.39,7.2,68.46,2
G. Bouzoukis,Panathinaikos,"RCMF, AMF, LCMF",23,1000000,2022-06-30,527,Greece,Greece,left,172,67,no,8.88,10.25,46.67,2.9,23.53,1.53,0.17,4.58,2.05,0.17,0,1.2,0.51,33.33,1.88,63.64,8.37,1.2,1.02,1.2,21.69,1.54,1.88,32.28,79.89,7.51,47.73,6.49,12.64,28.69,3.07,66.67,19.59,0.01,0.17,5.64,60.61,1.2,57.14,1.37,0,4.27,80,0
J. Jeggo,Aris,"LDMF, RDMF, LCMF",29,900000,2022-06-30,2229,Austria,"Austria, Australia",right,178,71,no,11.63,10.7,57.74,3.27,53.09,0.92,0.08,6.41,2.22,0.02,0,0.4,0.44,36.36,0.89,63.64,3.31,0.57,0.61,0.28,31.94,0.08,1.57,49.02,88.88,15.34,78.95,5.65,20.55,44.41,4.2,55.77,17.75,0.03,0.24,6.74,79.04,0.85,52.38,0.4,0.2,6.5,78.88,0
Lucas Sasha,Aris,"RDMF, LDMF, RCMF",31,900000,2024-06-30,2994,Brazil,"Brazil, Italy",right,177,67,no,13.59,11.42,59.47,1.77,42.37,1.28,0.27,8.34,1.92,0.13,0.03,1.41,1.02,17.65,1.53,52.94,4.84,1.29,0.87,0.45,34.48,0.21,1.89,50.23,85.28,16.98,75.75,7.45,16.5,45.51,3.73,54.03,17.08,0.05,0.45,8.57,75.79,1.5,38,0.57,0.21,7.06,74.89,0
C. Niasse,Panathinaikos,"DMF, RCB, LDMF",21,800000,2023-06-30,1158,Senegal,Senegal,right,188,80,yes,12.75,7.38,67.37,3.11,42.5,3.09,0.62,7.22,1.55,0.02,0,0.31,0,0,1.24,37.5,4.51,0.31,1.01,0.23,26.81,0.23,1.01,40.88,87.83,13.52,74.14,4.9,16.55,38.24,2.64,52.94,18.44,0,0.08,5.52,69.01,0.39,0,0.16,0,5.21,70.15,0
Y. Ayoub,Panathinaikos,LCMF,27,800000,2023-06-30,444,Morocco,Morocco,left,174,70,no,7.7,7.91,38.46,2.64,46.15,2.5,0,3.89,3.65,0.02,0,0.61,0.61,66.67,2.43,50,6.89,0.41,0.61,0.41,24.93,0.41,0.81,38.72,82.72,10.95,68.52,9.53,10.54,35.27,2.84,50,14.26,0,0.2,5.07,72,1.22,33.33,0.2,0.41,5.68,60.71,0
C. Charisis,Atromitos,"LCMF, RCMF",26,700000,2023-06-30,1970,Greece,Greece,right,177,70,no,10.19,8.31,57.69,1.92,45.24,1.51,0.18,5.1,1.1,0.04,0,0.59,0.5,27.27,3.29,50,8.77,0.55,1.32,1.28,24.53,0.32,3.29,36.46,83.33,11.1,68.72,4.71,16.22,31.29,4.71,69.9,20.02,0.03,0.32,5.89,76.74,1.01,27.27,0.27,0.14,5.35,70.09,0
