Player,Team within selected timeframe,Position,Age,Market value,Contract expires,Minutes played,Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,xG per 90,Head goals per 90,Shots per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Penalties taken
A. Gutman,New York RB,"LB, LWB",24,600000,2022-05-31,370,USA,USA,left,183,77,yes,15.08,10.22,69.05,2.68,63.64,0.64,0,9.89,1.22,0.03,0,0.49,4.62,63.16,4.38,38.89,6.08,0.97,0.49,0.73,22.86,0.73,1.7,37.46,69.48,15.08,56.45,6.32,9.97,27,6.32,53.85,22.72,0.07,0.97,6.08,56,4.14,64.71,0.49,2.19,10.46,74.42,0
M. Real,Philadelphia Union,"LB, RB, LCMF",21,600000,,100,USA,USA,left,180,73,no,11.7,7.2,62.5,5.4,83.33,0.97,0,6.77,0.9,0,0,0,0.9,0,2.7,66.67,2.7,0,0,0,13.5,0,0,24.3,77.78,13.5,66.67,3.6,3.6,22.5,0.9,0,16.39,0,0,1.8,100,0.9,0,0,0,1.8,100,0
O. Mbaizo,Philadelphia Union,RB,23,600000,2021-12-31,567,Cameroon,Cameroon,right,178,70,no,7.3,5.4,47.06,1.9,50,0,0.16,6.08,0.79,0.02,0,0.16,5.08,37.5,3.49,63.64,7.94,0.48,2.38,1.11,24.44,3.17,0.79,39.84,73.31,16.35,63.11,4.76,11.9,31.27,4.13,61.54,19.95,0.12,0.79,7.14,66.67,4.13,53.85,0.32,1.59,12.06,78.95,0
Luís Martins,Sporting KC,LB,28,600000,2021-12-31,575,Portugal,Portugal,left,175,65,no,7.98,6.1,69.23,0.94,33.33,0,0,4.68,0.94,0.01,0,0.47,4.85,16.13,1.88,58.33,3.76,0.16,1.57,0.63,39.44,3.6,0.31,51.03,81.9,17.53,80.36,10.96,15.34,43.51,2.66,64.71,19.54,0.07,0.94,5.79,75.68,4.38,28.57,0.63,0.78,9.7,82.26,0
Ž. Kolmanič,Austin FC,LB,21,600000,2022-06-30,375,Slovenia,Slovenia,left,177,69,yes,10.32,6.96,65.52,1.2,80,0.31,0.48,7.04,0.48,0,0,0,2.64,54.55,2.4,30,3.84,0.24,3.36,1.68,31.92,2.88,0,44.88,82.35,11.28,74.47,9.36,18.48,37.44,5.28,45.45,20.4,0.24,1.92,4.08,64.71,3.12,53.85,0.48,0.96,8.16,79.41,0
J. Medranda,Seattle Sounders,LB,27,600000,,16,Colombia,Colombia,left,172,68,no,,,,,,0,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,13.08,,,,,,,,,,,0
T. Blackmon,Los Angeles FC,"RB, RCB",24,600000,2022-12-31,284,USA,USA,right,185,81,no,7.61,5.07,31.25,3.49,72.73,0,0.32,8.64,1.9,0.12,0,0.63,0.63,50,0.63,100,2.22,1.9,3.17,0.32,31.37,1.58,0,46.58,87.07,19.33,81.97,2.85,18.06,41.51,4.44,71.43,19.97,0,0,8.24,84.62,0.95,33.33,0.32,0.32,10.46,78.79,0
J. Gyau,Cincinnati,RB,28,600000,2021-12-31,486,USA,"USA, Ghana",right,175,72,no,6.67,5.74,58.06,1.67,11.11,0.92,0,3.23,1.48,0.01,0,0.37,1.67,11.11,4.26,69.57,8.52,0.74,2.22,2.04,23.7,2.96,2.78,33.7,86.26,7.78,80.95,7.59,10.93,30.37,1.85,50,17.77,0,0,3.15,70.59,0.93,20,0,0.19,3.7,70,0
B. Shea,Inter Miami,"LB, LAMF",31,500000,2021-12-31,258,USA,"USA, Norway",left,191,86,no,8.37,8.02,52.17,2.79,50,0.38,0,4.23,1.05,0.26,0,1.4,0.7,0,0.7,50,2.79,1.74,0,0.35,21.98,2.44,1.05,28.95,79.52,9.77,67.86,5.58,7.67,25.81,2.79,12.5,17.5,0.01,0.35,3.14,77.78,1.05,0,0.35,0,4.19,58.33,0
H. Jiménez,Austin FC,"RB, LW, RCMF",32,500000,2021-12-31,64,USA,USA,right,175,64,no,11.25,14.06,50,4.22,0,0,0,4.74,1.41,0,0,0,2.81,0,1.41,100,2.81,1.41,1.41,1.41,33.75,11.25,0,42.19,83.33,12.66,88.89,7.03,16.88,36.56,2.81,50,18.08,0,0,7.03,100,4.22,33.33,1.41,0,9.84,100,0
